Object Tracking Data File Thu, Nov 20, 2025 4:28 PM
X  	Y  
219.84	271.90
214.96	266.66
218.68	267.92
215.98	262.31
221.94	264.95
222.61	269.00
222.75	266.64
229.24	264.42
217.53	267.11
210.55	267.61
208.65	263.96
214.05	258.48
232.79	202.56
215.36	207.30
212.45	253.80
210.65	263.30
211.35	262.42
210.84	264.05
213.75	261.99
212.78	258.74
210.68	257.32
207.08	255.11
208.61	259.10
209.64	258.85
210.91	263.44
211.67	261.01
209.24	263.03
209.66	262.36
208.93	260.47
208.99	253.45
204.20	254.58
206.70	263.75
198.99	265.50
202.12	261.14
200.99	262.80
194.12	264.65
195.60	267.50
190.55	268.92
188.44	263.82
187.38	258.96
188.56	259.23
191.68	257.77
191.78	263.56
185.86	262.73
181.83	263.59
182.25	263.97
173.83	256.86
170.57	252.39
171.34	250.97
172.35	252.57
173.81	257.62
169.34	259.56
171.28	257.03
169.06	258.72
174.43	258.15
176.04	261.42
173.70	261.40
178.20	262.78
173.42	259.03
175.15	255.65
175.58	252.53
180.01	253.55
177.24	247.16
171.91	248.54
173.46	253.31
172.84	258.50
172.48	259.47
174.25	259.92
165.79	267.01
165.95	272.04
165.31	275.89
165.65	270.84
164.76	272.10
164.32	271.10
163.07	273.72
162.23	277.49
152.49	276.58
156.74	279.48
152.02	278.17
154.27	274.67
149.89	278.13
150.95	276.17
148.99	275.21
143.20	273.36
142.46	275.61
139.73	277.38
138.13	276.46
135.33	272.86
130.64	274.33
125.06	279.63
123.18	284.61
124.33	282.71
121.41	285.78
119.88	292.65
117.76	292.53
117.44	296.75
122.91	294.86
127.80	290.80
127.29	290.06
124.96	288.18
127.11	293.00
131.21	289.68
130.07	283.18
134.64	281.84
132.30	283.76
133.46	281.01
127.32	277.96
127.98	278.33
129.75	284.99
131.43	282.58
134.87	283.74
132.33	290.66
129.87	295.39
128.18	295.56
127.28	297.48
128.60	300.07
126.08	303.40
129.06	307.17
125.38	303.34
121.65	305.55
