X	Y
570.73	340.51
570.73	340.51
573.72	337.87
579.77	338.05
579.77	338.05
590.07	346.76
595.23	345.48
602.96	344.50
604.11	348.11
602.33	350.02
600.94	349.08
602.92	353.79
600.70	352.34
601.47	350.63
601.47	350.63
601.47	350.63
599.48	365.59
598.89	369.34
594.09	370.92
588.82	373.14
588.86	370.83
587.52	372.53
586.55	378.29
586.49	375.31
590.76	371.23
590.54	372.48
587.59	371.69
590.89	369.27
592.58	363.61
591.21	357.96
592.22	356.68
589.37	359.09
591.08	358.70
591.08	358.70
598.96	370.95
598.96	370.95
604.55	377.01
609.03	372.50
611.86	367.62
615.99	364.15
622.47	365.17
625.89	367.41
624.62	369.87
624.62	369.87
620.48	361.17
624.65	359.46
630.69	360.59
630.68	363.81
630.85	365.14
632.50	370.73
634.82	374.13
638.81	376.35
647.26	368.39
651.39	365.08
648.49	363.83
648.20	366.48
646.54	370.26
642.60	366.27
645.01	361.14
646.94	360.29
645.72	361.84
643.98	363.14
644.72	362.13
645.94	360.56
645.62	358.75
641.14	362.52
642.60	369.53
644.81	370.63
642.54	370.98
641.95	377.47
640.39	377.90
638.40	386.67
638.40	386.67
638.40	386.67
638.40	386.67
642.35	401.72
648.98	405.81
653.22	407.38
657.29	404.37
658.91	404.61
659.70	404.81
659.70	404.81
647.47	409.72
646.22	409.83
647.44	410.47
647.60	416.24
648.35	421.40
650.79	422.95
655.67	425.84
653.72	427.69
654.43	427.29
651.72	427.65
653.25	428.29
653.25	428.29
653.84	414.32
653.84	414.32
648.59	416.72
645.77	414.28
645.80	413.92
645.80	413.92
645.80	413.92
663.66	420.74
665.63	418.21
668.33	418.96
665.63	419.98
663.47	421.49
661.12	423.79
659.64	419.59
654.32	423.19
655.21	426.30
654.77	429.80
657.05	430.43
654.38	432.03
652.75	433.20
654.50	437.17
653.01	439.60
654.62	444.30
655.64	445.12
669.94	444.18
668.78	442.28
