X	Y
1049.74	658.62
1050.84	656.28
1054.05	652.03
1055.47	651.64
1053.57	654.38
1051.44	655.35
1052.03	654.67
1056.13	656.13
1057.06	658.56
1055.77	658.45
1050.49	662.02
1050.49	662.02
1035.70	664.38
1036.46	663.78
1038.25	661.97
1041.14	660.97
1041.59	659.87
1037.78	660.59
1034.90	663.05
1033.43	664.29
1033.82	665.68
1035.61	662.45
1034.68	662.28
1034.33	665.91
1034.67	667.42
1030.27	670.08
1032.34	671.24
1037.69	676.53
1034.44	672.63
1031.32	674.15
1029.08	679.99
1026.62	682.59
1024.13	683.81
1027.66	677.94
1031.97	678.66
1030.22	675.57
1029.52	677.79
1033.33	677.15
1033.54	674.46
1033.39	678.84
1029.78	678.61
1029.79	683.57
1025.31	688.44
1020.70	691.53
1017.24	691.79
1019.60	696.10
1019.81	696.58
1021.02	697.02
1021.44	698.32
1021.76	698.52
1021.59	698.81
1024.43	700.67
1024.26	701.27
1019.52	701.33
1014.99	702.76
1000.95	705.22
1003.77	708.94
1002.26	713.92
1004.19	718.08
1005.03	722.51
1006.53	722.74
1006.29	720.66
1000.90	723.77
1000.40	723.48
998.70	721.30
994.92	723.72
989.70	723.38
988.33	724.64
992.16	725.38
990.46	725.90
990.46	725.90
1002.48	732.06
1000.69	730.54
991.84	729.88
989.25	737.35
990.67	739.69
993.11	745.58
990.84	747.75
988.75	746.65
987.92	745.92
991.09	751.98
990.71	761.21
993.93	763.33
996.97	763.60
998.12	765.84
996.35	765.94
995.87	766.40
992.36	765.67
993.80	765.98
994.40	767.44
993.48	769.01
994.57	774.26
993.10	777.98
991.32	777.58
990.03	777.55
988.54	778.12
988.82	781.96
984.02	783.75
982.73	782.67
983.52	782.38
986.23	781.50
987.34	785.72
989.25	787.85
988.09	788.82
988.62	790.64
986.55	792.36
986.55	792.36
986.55	792.36
986.55	792.36
986.55	792.36
986.55	792.36
986.55	792.36
986.55	792.36
986.55	792.36
986.55	792.36
986.55	792.36
986.55	792.36
986.55	792.36
986.55	792.36
986.55	792.36
