X	Y
580.55	150.92
582.74	151.55
587.70	148.58
585.51	150.94
588.92	150.60
588.26	153.63
589.73	154.24
593.18	150.27
594.06	148.92
594.40	144.73
591.72	143.41
594.15	142.35
595.68	140.15
597.36	140.72
597.24	143.32
598.94	143.73
599.57	143.13
600.53	140.62
602.93	138.75
605.69	138.27
604.89	137.90
601.42	137.80
600.40	136.69
599.41	131.65
601.87	129.45
607.43	125.96
611.61	122.17
613.60	121.49
612.81	119.27
614.21	114.58
613.05	114.62
612.04	115.89
612.09	112.01
611.54	109.50
614.30	109.94
617.15	107.34
616.89	107.12
615.57	107.98
613.60	105.10
611.59	104.30
611.43	105.76
613.79	111.20
614.07	112.55
609.30	112.92
607.39	118.56
609.41	118.94
612.50	120.60
617.26	118.89
619.73	116.18
620.11	113.27
622.29	111.05
623.54	110.75
627.54	110.75
630.29	112.03
632.55	113.47
635.35	107.68
635.59	102.22
635.60	101.13
634.51	103.09
633.79	103.85
632.60	103.82
631.99	100.72
631.24	102.09
631.87	101.80
632.03	103.39
631.49	104.78
628.63	103.61
625.77	105.20
623.99	105.05
628.99	106.91
628.06	110.69
628.56	113.30
630.92	113.50
632.28	112.52
635.53	109.13
639.14	110.16
643.09	110.19
642.83	109.34
640.59	106.22
642.23	105.67
644.66	103.93
649.24	104.12
649.13	106.05
650.32	110.54
648.92	115.14
650.89	118.66
648.06	118.84
648.04	120.87
648.31	120.53
649.61	121.24
651.25	123.49
649.14	122.61
646.62	124.35
645.32	125.63
644.32	124.23
645.17	124.13
645.13	120.89
649.32	121.52
654.75	120.09
656.36	118.59
655.19	121.27
657.92	122.61
656.78	128.65
656.88	134.51
654.36	141.22
655.14	147.73
659.10	151.82
658.56	154.28
656.31	159.00
658.87	156.78
659.71	156.24
657.17	155.10
658.99	155.64
660.67	156.04
656.69	159.04
655.05	162.13
658.90	166.20
658.90	166.20
658.90	166.20
658.90	166.20
