X	Y
1201.46	58.42
1202.56	58.67
1201.28	58.59
1205.52	60.20
1206.13	65.59
1204.08	66.76
1204.90	64.94
1208.71	64.69
1210.00	72.03
1210.24	75.54
1206.55	80.33
1202.89	82.64
1203.74	81.87
1203.74	81.87
1196.97	73.05
1195.68	75.52
1192.98	73.19
1190.51	69.25
1190.32	66.27
1187.55	67.85
1186.69	64.32
1186.68	63.43
1186.36	63.58
1188.58	65.72
1191.58	66.29
1194.73	65.79
1200.55	60.98
1205.28	61.32
1205.35	64.85
1202.82	62.05
1202.25	60.51
1201.78	59.85
1203.51	58.79
1204.55	59.77
1207.34	63.91
1215.04	62.51
1215.69	62.77
1214.96	61.31
1215.04	60.66
1213.48	64.65
1208.06	67.65
1204.72	71.51
1206.77	68.63
1207.20	73.15
1207.96	73.42
1204.00	75.03
1206.81	76.51
1208.31	72.91
1205.42	69.70
1199.63	71.92
1194.94	73.98
1190.95	78.60
1187.75	82.47
1185.10	84.89
1184.92	83.25
1184.97	87.29
1187.50	88.88
1186.34	84.07
1183.87	85.49
1179.45	88.88
1179.73	90.26
1178.47	91.68
1176.84	95.34
1175.37	92.37
1171.14	93.20
1173.26	93.33
1173.28	91.71
1172.01	93.82
1174.03	94.19
1171.10	92.47
1169.72	92.26
1168.76	90.70
1169.40	90.79
1168.41	91.82
1165.78	91.02
1162.39	90.86
1161.09	86.69
1159.67	83.87
1162.67	81.54
1162.67	81.54
1154.51	80.21
1153.32	79.49
1156.04	80.26
1159.59	81.19
1160.84	77.29
1155.91	76.36
1154.81	78.80
1157.71	78.12
1155.35	73.48
1155.96	73.12
1157.21	72.36
1159.54	73.53
1160.80	75.54
1161.70	79.03
1160.98	81.12
1160.69	78.47
1164.68	76.28
1165.39	77.05
1167.94	74.98
1170.28	71.31
1168.54	69.70
1168.54	69.70
1168.54	69.70
1157.40	68.94
1154.98	72.25
1148.90	76.60
1146.36	78.25
1146.36	78.25
1152.33	71.49
1160.13	71.77
1156.95	69.16
1151.65	66.38
1151.65	66.38
1147.00	68.02
1145.64	71.75
1142.38	73.36
1141.63	72.67
1143.56	76.28
1145.69	72.99
1148.87	73.30
