X	Y
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
247.11	221.82
260.79	220.52
271.68	224.59
271.30	224.90
261.06	234.29
253.57	241.66
253.57	241.66
253.57	241.66
253.57	241.66
253.57	241.66
253.57	241.66
253.57	241.66
253.57	241.66
253.57	241.66
253.57	241.66
253.57	241.66
253.57	241.66
238.47	256.05
238.47	256.05
238.47	256.05
238.47	256.05
238.47	256.05
238.47	256.05
238.47	256.05
238.47	256.05
238.47	256.05
238.47	256.05
238.47	256.05
238.47	256.05
238.47	256.05
254.87	244.47
254.87	244.47
254.87	244.47
254.87	244.47
254.87	244.47
254.87	244.47
254.38	246.03
253.89	247.59
253.39	249.15
252.90	250.70
252.11	250.97
253.16	247.59
255.50	252.05
252.02	250.36
254.51	258.44
251.57	259.08
251.57	259.08
251.57	259.08
251.57	259.08
251.57	259.08
251.57	259.08
251.57	259.08
251.57	259.08
251.57	259.08
251.57	259.08
251.57	259.08
251.57	259.08
251.57	259.08
251.57	259.08
251.57	259.08
251.57	259.08
258.47	289.80
254.40	293.45
255.19	290.51
255.19	290.51
255.19	290.51
255.19	290.51
255.19	290.51
255.19	290.51
255.19	290.51
255.19	290.51
255.19	290.51
255.19	290.51
