X	Y
635.81	649.39
639.33	651.56
640.41	653.39
641.96	649.61
644.09	650.59
644.44	648.00
648.31	644.83
650.24	644.01
656.04	640.20
656.77	640.32
657.04	642.36
657.75	644.34
658.27	647.06
658.69	645.95
662.22	647.42
665.37	646.81
665.68	644.06
670.28	644.20
668.62	648.64
667.29	649.50
667.86	648.26
665.88	644.10
665.13	644.51
666.76	643.76
666.33	639.48
666.87	636.82
661.56	633.09
662.13	634.04
657.47	636.88
655.56	641.43
654.75	647.22
655.25	649.70
656.21	647.02
656.00	646.41
656.33	644.04
654.84	643.94
655.10	643.98
650.52	642.98
649.38	642.20
648.92	643.38
651.50	641.60
650.95	639.80
648.86	643.96
649.02	643.95
648.25	645.48
645.24	649.35
645.85	650.36
642.85	650.64
642.63	653.42
642.71	655.02
641.40	655.53
640.34	656.43
641.37	657.09
644.12	656.87
645.45	655.70
647.58	651.33
647.65	651.27
645.96	650.65
647.67	649.84
647.77	648.17
646.81	649.51
651.46	651.74
650.96	652.22
652.69	649.69
655.21	646.82
657.73	650.01
658.21	656.66
659.14	659.65
653.76	660.65
652.96	660.48
654.81	657.01
653.56	653.97
654.82	652.99
654.50	652.92
655.95	653.99
657.21	653.19
657.21	653.19
650.56	652.71
648.48	654.04
648.48	654.04
648.48	654.04
638.68	668.10
641.93	666.30
644.58	665.30
647.60	666.70
648.76	666.48
649.03	665.73
647.61	665.59
649.62	669.59
649.05	673.26
651.05	672.16
651.64	675.17
650.08	674.07
647.91	672.39
646.01	672.19
647.65	671.69
644.13	672.75
642.77	674.97
643.66	675.55
638.98	676.61
634.92	675.43
636.41	675.70
634.66	676.90
629.41	679.81
628.71	681.17
626.38	680.61
627.99	681.49
629.83	683.13
631.70	680.07
634.97	678.23
638.17	677.32
638.17	677.32
639.43	679.51
640.82	678.73
642.60	680.31
640.48	682.14
639.39	682.80
636.50	681.44
634.83	682.71
634.80	688.15
