X	Y
941.87	315.12
943.59	310.54
948.09	312.22
948.76	316.63
946.01	318.39
947.25	321.06
946.12	321.70
947.60	323.52
947.83	321.62
948.74	320.25
952.35	316.13
951.97	314.45
956.23	315.21
953.61	316.52
954.97	317.88
957.30	317.03
958.99	321.36
956.67	321.95
957.92	326.27
957.38	330.20
953.81	331.84
958.36	330.72
960.25	333.47
957.87	330.90
961.57	327.91
966.57	326.59
971.57	326.38
972.17	326.29
970.63	326.72
968.79	324.68
968.26	326.82
968.61	332.15
967.38	333.22
966.14	332.91
963.83	330.12
962.66	328.57
961.37	329.93
959.22	332.17
963.21	331.10
965.72	336.12
964.70	337.41
960.07	335.38
960.07	335.38
951.31	334.82
949.46	333.15
945.64	330.88
945.38	331.79
943.92	326.88
945.48	325.12
951.11	323.45
955.49	323.62
954.46	324.97
955.76	329.60
956.11	332.10
958.30	338.12
957.29	342.66
958.04	344.77
957.25	351.66
955.75	358.05
953.81	359.25
955.49	358.88
957.19	360.51
959.71	360.93
958.25	356.67
960.70	357.65
964.50	359.76
965.39	357.69
962.63	357.52
961.69	360.23
959.92	363.40
957.84	365.33
958.74	365.30
954.87	364.64
954.32	367.33
952.38	367.10
952.24	365.56
949.60	366.12
948.16	367.41
950.15	370.96
950.74	374.23
956.27	376.69
960.33	375.11
962.96	369.77
964.63	366.98
966.19	370.30
968.64	369.51
967.96	370.62
968.77	373.37
970.65	373.86
974.76	376.28
975.77	375.88
976.20	377.81
978.37	376.36
978.13	376.69
975.29	373.77
978.96	373.70
980.99	376.92
984.57	379.61
985.08	374.77
985.22	375.74
985.22	375.74
985.30	389.13
987.14	392.12
991.65	393.00
994.96	395.94
997.41	400.30
1000.37	402.80
1004.00	406.12
1002.95	406.21
1005.47	407.80
1007.16	405.69
1003.95	407.39
1001.50	411.13
999.79	413.37
1002.31	413.28
1000.62	415.43
1000.17	417.09
999.83	416.56
1000.00	419.23
1000.54	420.59
