X	Y
563.91	730.62
562.37	734.02
561.67	737.81
561.57	739.86
566.73	739.92
569.00	740.77
574.88	740.85
577.13	740.84
577.41	744.42
583.76	747.74
586.70	745.74
586.89	744.83
586.38	742.79
591.78	747.80
596.22	749.66
600.55	744.66
606.83	744.12
609.37	743.58
612.19	743.61
612.22	744.47
617.32	743.41
617.82	740.40
618.36	740.86
617.91	737.42
618.18	737.17
612.95	736.22
611.97	736.13
611.22	735.99
612.39	734.03
610.92	735.68
610.34	735.52
608.34	736.19
609.47	734.96
607.34	734.59
606.86	737.91
603.90	738.96
602.27	739.90
603.46	744.45
607.02	745.43
607.34	743.68
610.69	740.75
613.39	738.73
613.48	735.81
611.08	734.27
611.16	735.34
610.66	735.57
614.77	735.84
616.38	734.24
617.32	732.25
617.82	732.08
616.88	731.91
615.71	730.67
615.19	730.04
613.70	731.26
612.59	730.73
614.90	730.65
616.75	726.56
618.05	723.00
621.48	720.62
624.63	719.71
624.74	717.58
621.46	713.32
621.26	715.13
625.05	714.76
627.46	720.09
628.67	725.44
626.30	730.32
625.79	732.09
631.17	732.66
626.82	734.85
628.17	734.34
630.53	731.31
630.12	728.27
629.71	725.23
624.30	726.77
628.46	725.26
631.70	727.83
628.04	729.82
630.17	730.94
629.67	728.78
633.29	725.90
634.06	724.94
639.14	723.76
645.05	721.96
643.25	723.90
643.38	723.89
641.76	727.13
645.75	731.24
642.46	732.30
637.30	733.68
630.31	733.07
626.71	733.62
622.05	731.66
623.48	729.19
626.66	725.64
625.25	727.31
624.89	727.50
620.63	726.81
619.97	727.95
618.89	726.90
616.49	723.97
615.28	723.52
615.21	722.08
616.44	722.28
618.02	721.53
614.68	722.13
610.40	724.01
607.18	721.24
607.18	721.24
607.18	721.24
607.18	721.24
603.27	699.86
600.19	700.63
600.20	700.52
594.31	699.51
598.39	701.32
600.37	698.04
601.81	699.70
605.06	700.26
602.37	700.32
