X	Y
655.78	320.97
656.40	325.96
651.60	331.80
649.42	336.97
654.93	340.00
653.29	340.30
657.40	341.92
658.81	342.51
659.04	343.12
657.40	343.78
659.04	344.40
658.30	345.59
658.85	346.42
657.38	347.22
657.97	346.23
654.80	345.49
659.22	348.32
657.63	347.96
657.32	349.46
654.09	352.71
657.03	351.57
658.17	348.53
656.26	348.65
652.40	363.02
651.53	367.41
653.02	366.81
654.04	363.20
659.11	365.02
659.90	366.96
662.67	367.29
664.40	368.49
663.99	367.28
666.30	369.97
664.91	370.61
667.09	372.97
671.30	372.90
674.63	371.97
676.62	371.81
675.35	374.25
671.99	375.59
669.59	380.10
667.80	381.76
667.66	384.40
659.14	391.64
662.07	390.98
667.60	392.53
667.97	393.81
670.82	403.99
670.82	403.99
670.82	403.99
671.81	399.74
671.81	399.74
671.81	399.74
674.25	407.83
676.62	408.14
677.80	405.95
674.57	403.99
672.08	408.19
669.45	408.36
665.65	414.04
667.99	413.81
673.48	413.45
678.48	412.86
683.81	415.12
678.60	404.02
681.12	402.72
681.22	403.86
677.53	405.96
676.87	407.65
677.98	412.17
677.75	417.51
674.00	419.51
672.54	419.81
671.61	422.66
673.04	422.76
672.53	418.39
673.35	415.01
679.10	410.90
682.14	407.01
676.25	407.82
673.34	411.53
674.06	413.09
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
670.38	412.63
