X	Y
1055.62	555.38
1052.18	556.76
1050.65	556.79
1050.91	562.55
1050.54	565.16
1052.07	568.13
1053.36	565.97
1048.43	564.20
1042.97	561.60
1038.63	561.40
1035.61	559.39
1036.64	564.60
1038.26	564.05
1035.71	562.49
1037.33	558.33
1039.15	557.67
1037.66	559.64
1031.80	558.76
1030.58	560.02
1025.38	561.14
1018.69	556.74
1014.94	556.67
1012.07	556.25
1010.87	559.61
1011.51	560.86
1009.87	565.12
1008.60	566.57
1006.75	569.53
1007.67	571.80
1007.34	575.45
1006.21	579.07
1005.31	581.70
1006.42	579.85
1007.48	579.45
1009.96	582.37
1011.48	584.55
1010.74	580.54
1012.43	584.40
1008.58	585.21
1004.82	590.40
1005.48	591.20
1003.40	590.77
1004.02	590.88
1001.47	591.50
999.99	591.34
999.36	594.57
998.64	594.56
997.19	595.60
996.68	596.32
997.30	596.64
997.16	601.31
994.13	601.93
993.16	601.79
992.68	602.09
991.13	601.18
993.02	598.62
994.76	597.77
994.92	599.25
994.51	597.66
997.27	597.77
998.84	599.40
997.84	600.50
997.29	602.27
995.57	604.12
996.04	607.11
995.99	610.42
993.58	612.65
992.44	611.48
994.94	612.33
995.34	615.10
992.95	616.17
991.11	619.68
988.36	620.73
986.21	623.23
987.55	624.68
989.24	621.68
989.74	621.85
993.09	622.23
992.68	620.56
995.95	620.28
997.06	614.82
999.12	614.28
996.66	616.92
993.39	617.10
992.25	615.58
992.10	618.75
992.87	626.33
989.77	627.74
986.87	629.40
983.30	631.92
981.78	633.53
982.99	630.99
984.37	628.50
982.76	628.17
982.78	628.40
983.68	626.97
985.13	622.59
984.29	619.34
982.34	619.46
985.12	620.98
981.01	623.06
980.37	622.23
980.15	624.21
977.46	625.14
976.30	626.68
973.77	625.89
973.05	623.55
973.52	624.49
972.45	625.93
972.45	625.93
961.50	636.16
961.42	640.33
961.22	643.79
960.47	646.90
958.42	646.21
955.91	643.12
955.42	641.84
955.12	641.35
954.63	641.28
955.19	642.27
