X	Y
1150.14	493.20
1150.20	492.89
1156.18	496.45
1160.08	501.86
1161.02	504.70
1159.02	506.72
1159.85	504.54
1159.85	504.54
1159.85	504.54
1159.85	504.54
1153.80	473.36
1153.34	476.01
1159.60	479.96
1161.34	480.90
1167.06	481.24
1163.87	482.67
1167.86	485.84
1168.86	489.38
1171.82	489.91
1172.66	487.55
1176.35	485.79
1181.23	485.04
1182.40	489.31
1182.72	488.79
1179.37	487.53
1182.21	489.64
1183.43	493.51
1183.83	495.00
1182.95	497.88
1182.77	503.08
1185.04	503.28
1184.06	507.46
1186.18	508.01
1187.46	505.90
1191.90	506.87
1192.92	511.20
1195.41	509.42
1198.79	508.99
1200.36	507.53
1200.76	508.16
1195.10	505.85
1194.16	504.69
1192.14	504.90
1192.43	507.88
1191.23	507.26
1192.67	508.88
1190.73	513.91
1186.91	517.55
1189.60	517.39
1187.89	515.55
1188.07	511.40
1186.83	511.53
1185.67	511.25
1187.20	513.68
1190.75	518.22
1192.70	521.11
1190.31	524.53
1187.05	526.35
1181.29	528.50
1176.16	531.53
1174.83	534.52
1169.82	537.38
1172.45	538.78
1173.71	538.56
1173.65	535.11
1173.78	532.52
1174.92	528.17
1173.16	526.12
1169.44	525.24
1167.23	524.17
1171.92	524.21
1175.11	527.59
1173.73	527.67
1174.04	527.24
1171.22	527.37
1164.88	527.86
1165.94	529.57
1168.56	534.15
1171.72	534.34
1169.64	536.13
1163.16	534.93
1158.90	536.48
1159.72	536.84
1160.01	535.91
1159.15	537.26
1160.63	532.55
1166.46	532.61
1167.38	533.10
1164.97	532.95
1164.74	529.48
1166.65	525.10
1167.69	522.64
1167.87	521.98
1172.73	523.58
1175.64	527.88
1182.25	524.22
1184.80	521.68
1185.68	519.34
1190.73	517.80
1193.48	519.57
1194.13	517.50
1193.25	517.54
1192.52	516.55
1193.04	513.13
1191.47	508.93
1187.98	507.75
1188.31	511.46
1186.91	513.03
1186.34	513.56
1181.69	510.61
1182.37	509.33
1181.25	509.08
1183.58	510.34
1184.70	508.61
1181.04	507.43
1180.08	503.39
1184.55	506.73
1186.87	508.56
1191.15	507.01
1192.83	505.71
