Object Tracking Data File Thu, Nov 20, 2025 4:41 PM
X  	Y  
799.72	389.62
801.05	392.97
793.28	389.20
788.90	387.68
787.72	385.08
784.44	380.00
780.38	376.50
773.83	373.94
769.63	376.32
768.49	375.60
765.96	373.22
761.48	365.86
761.11	359.75
756.50	356.74
755.16	356.42
754.97	355.09
750.36	355.22
747.95	354.60
740.10	356.23
739.76	356.15
741.27	352.54
741.53	350.32
738.35	348.63
740.24	350.08
742.11	350.74
742.98	348.82
739.30	345.78
732.40	343.29
731.98	339.29
727.31	337.72
726.07	337.35
724.17	336.80
725.64	334.48
727.08	330.09
726.75	325.26
725.72	321.01
727.01	316.29
726.55	310.93
726.77	304.85
727.63	304.19
728.72	302.21
726.40	296.13
719.52	293.69
717.42	292.43
717.39	288.83
713.17	285.81
708.39	282.03
697.42	278.46
693.59	275.49
690.83	273.19
686.87	272.93
686.83	272.52
683.79	272.83
684.77	273.33
686.94	272.29
687.81	271.69
685.49	271.80
683.34	269.86
687.04	266.99
687.46	265.80
684.08	265.14
686.09	262.92
685.12	263.43
681.60	264.74
678.64	267.12
671.65	268.04
670.77	269.13
667.84	268.88
664.47	271.66
663.19	281.97
657.27	293.13
646.06	307.77
627.06	328.46
614.28	335.78
604.29	340.50
596.39	345.18
591.08	349.73
587.82	354.25
582.86	358.05
581.95	361.48
582.06	363.24
579.31	365.88
573.09	366.82
567.52	368.52
563.99	370.34
561.56	370.89
558.17	373.84
554.77	374.71
551.50	375.23
551.96	377.71
551.07	381.09
547.89	383.20
543.82	383.08
543.17	384.03
541.46	386.59
538.72	390.86
533.84	397.04
530.75	402.56
527.96	410.20
524.30	414.13
521.87	415.91
523.54	418.27
525.89	420.13
525.74	421.35
526.63	420.77
525.00	421.45
520.49	423.69
517.56	427.80
518.73	430.22
518.64	432.03
512.97	434.55
510.89	438.40
509.85	442.33
509.88	445.48
504.97	449.67
501.42	454.49
502.75	455.75
501.88	459.21
485.60	434.78
