Object Tracking Data File Thu, Nov 20, 2025 4:12 PM
X (pixels)  	Y (pixels)  
704.46	672.01
703.80	674.17
704.42	673.21
706.29	669.33
709.63	666.88
705.46	663.37
707.24	665.92
715.57	665.76
711.55	662.80
709.80	660.65
705.72	662.27
706.42	656.80
709.77	653.87
703.54	652.80
700.44	653.51
696.06	652.81
703.16	656.01
705.56	663.45
708.92	667.16
703.97	672.19
706.46	677.56
711.65	669.71
708.21	665.15
715.37	668.24
716.29	668.23
711.79	671.36
702.11	668.00
702.49	670.93
701.39	671.59
700.06	668.15
699.39	672.73
693.54	671.63
692.29	678.05
687.25	677.97
686.99	675.57
684.76	675.15
681.41	676.61
678.63	684.89
674.31	689.09
677.83	689.14
679.78	692.54
676.68	694.38
681.80	698.35
685.34	695.03
685.13	694.62
691.68	694.02
687.07	696.34
683.59	696.84
681.74	695.69
678.57	700.01
677.46	699.16
675.63	698.30
668.86	691.49
665.03	691.10
669.38	687.63
668.62	683.90
672.50	686.24
671.31	688.10
670.09	687.10
667.27	685.99
671.45	689.11
670.92	686.82
669.53	679.39
669.91	676.98
667.47	674.66
669.75	675.62
670.11	676.44
667.31	680.70
666.15	683.16
666.21	684.14
665.85	686.07
667.92	682.56
669.40	681.85
670.30	681.89
674.79	680.29
667.85	683.44
663.48	680.76
664.86	684.20
667.53	686.25
665.12	687.54
664.15	685.17
660.18	686.27
663.73	690.58
658.67	634.63
659.29	681.84
662.81	684.83
663.69	683.58
656.69	686.17
652.38	684.24
648.53	682.79
647.28	687.00
647.68	688.83
650.27	688.40
647.88	686.92
649.48	683.45
655.40	680.56
656.35	678.00
656.68	682.48
649.66	685.50
653.34	687.32
655.09	695.71
651.77	699.50
619.44	646.15
644.03	694.48
639.29	698.21
633.14	698.02
630.70	695.69
629.89	694.79
628.03	694.89
624.01	693.36
625.65	698.25
619.52	701.56
618.31	705.60
614.67	712.31
606.55	711.71
603.86	714.97
602.77	714.98
598.81	714.07
595.48	715.58
595.96	714.66
