Object Tracking Data File Thu, Nov 20, 2025 4:54 PM
X (pixels)  	Y (pixels)  
665.96	422.63
669.22	423.93
669.47	425.41
670.22	422.25
673.95	413.46
673.18	413.75
677.97	413.45
678.09	408.61
678.69	405.38
671.90	407.23
669.61	408.97
671.81	407.31
672.05	410.43
675.83	412.20
677.24	407.37
676.26	408.64
679.37	413.68
684.04	414.49
687.80	407.85
683.25	405.00
678.58	398.50
676.15	396.80
680.85	392.29
683.95	388.18
681.75	382.69
685.51	383.49
686.50	382.95
684.08	384.01
687.42	382.26
685.58	381.57
691.14	384.02
689.47	376.72
689.50	377.63
689.06	376.20
690.91	374.82
692.28	366.73
694.50	364.05
696.69	368.95
698.39	367.19
697.55	365.60
695.45	359.43
696.25	358.03
700.20	355.84
696.85	357.74
700.72	352.46
702.32	354.65
699.27	355.49
697.09	354.88
699.69	356.28
698.56	358.43
694.62	354.93
696.18	357.32
698.23	359.20
693.36	358.82
695.39	368.43
697.04	370.06
695.07	365.18
698.91	365.53
696.16	366.57
698.47	371.03
692.10	368.55
692.33	363.87
697.82	369.07
692.42	372.54
690.31	371.43
685.52	366.23
687.58	362.97
686.23	364.76
685.72	362.41
683.66	362.86
682.37	365.47
681.76	363.92
676.65	366.29
672.79	371.04
667.38	366.21
660.55	361.93
658.28	364.61
656.05	361.03
652.73	363.76
650.78	361.34
651.39	362.45
653.82	360.53
652.39	357.77
655.67	353.95
659.84	350.90
661.75	351.07
660.21	354.71
651.81	355.10
656.44	357.41
656.67	355.13
659.43	349.35
661.98	353.78
663.78	352.59
666.89	355.15
667.86	352.07
669.27	354.68
670.61	353.56
669.66	354.09
668.92	357.68
670.48	353.84
669.55	355.90
672.60	353.22
672.87	350.84
675.68	353.83
679.33	355.67
683.79	357.28
682.95	353.62
680.71	355.49
680.21	355.97
677.57	355.79
675.07	354.92
674.32	356.56
672.89	356.08
669.90	353.97
669.86	355.53
670.06	357.35
667.99	358.34
666.74	358.89
670.79	358.33
671.48	357.29
